order,page,route,title,component,source_file,source_bytes,source_exists,image_signals,media_signals,interaction_signals,narrative_signals,gift_signals,shared_template,design_tokens,source_fingerprint,thin_candidate,broken_candidate,note,memory,compliment,gift,message,surprise
"25","025","/wishing-well","The Wish Abu Dropped for You","WishingWellPage","src/pages/WishingWellPage.jsx + src/components/WishingWell.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/whatsappHelper.js","116484","true","9","30","78","641","200","WishingWell","font-ui bg-white/80 rounded-2xl border-pink-200 shadow-sm text-left text-xs font-bold text-gray-700 text-amber-500 rounded-xl border-pink-300","3d3f1a3c1b","NO","NO","The Wish Abu Dropped for You uses WishingWellPage. Memory: Bageshwori Temple and the prayers we carried home. Gift: a compliment saved for your next tired day. Voice: Samjhana, my Sanzu, Abu made the Wishing Well room around Bageshwori Temple and the prayers we carried home. Open this when you miss Abu..","Bageshwori Temple and the prayers we carried home","Your smile makes Abu forget what he was worried about.","a compliment saved for your next tired day","Samjhana, my Sanzu, Abu made the Wishing Well room around Bageshwori Temple and the prayers we carried home. Open this when you miss Abu.","The secret is simple: Abu would still choose you in every version of the story. Your smile makes Abu forget what he was worried about. This page is Ab"
"26","026","/voice-soundboard","The Things Abu Wants to Say Out Loud","VoiceSoundboardPage","src/pages/VoiceSoundboardPage.jsx + src/components/VoiceSoundboard.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/store/useAppStore.js + src/data/roomSequence.js","94911","true","9","30","28","625","162","VoiceSoundboard","from-rose-500 to-pink-600 from-amber-500 to-orange-500 from-pink-500 to-fuchsia-600 from-purple-500 to-indigo-600 rounded-2xl border-2 shadow-lg text-left","0cd5da961d","NO","NO","The Things Abu Wants to Say Out Loud uses VoiceSoundboardPage. Memory: Bageshwori Temple and the prayers we carried home. Gift: a Bageshwori memory pressed between two pages. Voice: Samjhana, my Sanu, Abu made the Voice Soundboard room around Bageshwori Temple and the prayers we carried home. This is a reminder that you are loved .","Bageshwori Temple and the prayers we carried home","Your smile makes Abu forget what he was worried about.","a Bageshwori memory pressed between two pages","Samjhana, my Sanu, Abu made the Voice Soundboard room around Bageshwori Temple and the prayers we carried home. This is a reminder that you are loved ","Open this when you miss Abu. Your smile makes Abu forget what he was worried about. This page is Abu’s a quiet “open when” note for your pocket for Ba"
"27","027","/fireworks","A Sky Full of Abu’s Wishes","FireworksPage","src/pages/FireworksPage.jsx + src/components/HeartFireworks.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","106304","true","9","30","52","621","148","HeartFireworks","bg-slate-950 rounded-3xl border-2 border-indigo-700 shadow-2xl text-indigo-300 text-xs font-ui font-nepali font-script text-center rounded-full","ef94493d1d","NO","NO","A Sky Full of Abu’s Wishes uses FireworksPage. Memory: the room-search conversation that started in Nepalgunj. Gift: a future postcard from the light-blue scooter road. Voice: Samjhana, my Bebo, Abu made the Fireworks room around the room-search conversation that started in Nepalgunj. Read this slowly, Sanu. It was made for .","the room-search conversation that started in Nepalgunj","You are the best part of every future Abu imagines.","a future postcard from the light-blue scooter road","Samjhana, my Bebo, Abu made the Fireworks room around the room-search conversation that started in Nepalgunj. Read this slowly, Sanu. It was made for ","This page is a soft place to land when your day is heavy. You are the best part of every future Abu imagines. This page is Abu’s a Bageshwori memory p"
"28","028","/bucket-list","Places Abu Still Wants to Take You","BucketListPage","src/pages/BucketListPage.jsx + src/components/TravelBucketList.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","119198","true","9","30","82","666","154","TravelBucketList","font-ui bg-white/80 rounded-3xl border-pink-200 shadow-sm text-xs font-bold text-rose-600 text-rose-500 text-pink-600 font-extrabold rounded-full","b29f86d668","NO","NO","Places Abu Still Wants to Take You uses BucketListPage. Memory: Chau-Chau, Panipuri, momo, and the foods that became our language. Gift: a Bageshwori memory pressed between two pages. Voice: Samjhana, my Samjhana, Abu made the Bucket List room around Chau-Chau, Panipuri, momo, and the foods that became our language. This is a reminder that.","Chau-Chau, Panipuri, momo, and the foods that became our language","Your kindness is one of the reasons Abu keeps choosing you.","a Bageshwori memory pressed between two pages","Samjhana, my Samjhana, Abu made the Bucket List room around Chau-Chau, Panipuri, momo, and the foods that became our language. This is a reminder that","Open this when you miss Abu. Your kindness is one of the reasons Abu keeps choosing you. This page is Abu’s a quiet “open when” note for your pocket f"
"29","029","/origami","A Paper Heart for Samjhana","OrigamiPage","src/pages/OrigamiPage.jsx + src/components/OrigamiHeart.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","112695","true","9","30","64","631","156","OrigamiHeart","from-amber-50 to-yellow-50 border-amber-200 from-pink-50 to-rose-50 border-pink-200 from-rose-50 to-pink-50 border-rose-300 from-rose-100 to-pink-100 border-rose-400","5533e08ee8","NO","NO","A Paper Heart for Samjhana uses OrigamiPage. Memory: the room-search conversation that started in Nepalgunj. Gift: a future postcard from the light-blue scooter road. Voice: Samjhana, my Runchi, Abu made the Origami room around the room-search conversation that started in Nepalgunj. Read this slowly, Sanu. It was made for .","the room-search conversation that started in Nepalgunj","You are the best part of every future Abu imagines.","a future postcard from the light-blue scooter road","Samjhana, my Runchi, Abu made the Origami room around the room-search conversation that started in Nepalgunj. Read this slowly, Sanu. It was made for ","This page is a soft place to land when your day is heavy. You are the best part of every future Abu imagines. This page is Abu’s a Bageshwori memory p"
"30","030","/affirmations","Words for Your Difficult Days","AffirmationsPage","src/pages/AffirmationsPage.jsx + src/components/LoveAffirmations.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","113804","true","9","30","61","644","149","LoveAffirmations","from-rose-500 to-pink-600 from-amber-500 to-orange-500 from-purple-500 to-indigo-600 from-pink-500 to-fuchsia-600 from-rose-600 to-red-500 from-sky-500 to-blue-600","1c33ec6291","NO","NO","Words for Your Difficult Days uses AffirmationsPage. Memory: the room-search conversation that started in Nepalgunj. Gift: a tiny memory ticket from Nepalgunj. Voice: Samjhana, my Bhoot, Abu made the Affirmations room around the room-search conversation that started in Nepalgunj. A small surprise: Abu remembers more.","the room-search conversation that started in Nepalgunj","You are the best part of every future Abu imagines.","a tiny memory ticket from Nepalgunj","Samjhana, my Bhoot, Abu made the Affirmations room around the room-search conversation that started in Nepalgunj. A small surprise: Abu remembers more","Keep this for the next time distance feels loud. You are the best part of every future Abu imagines. This page is Abu’s a voice-note moment for the ni"
"31","031","/love-piano","The Birthday Song for Bhuntu","LovePianoPage","src/pages/LovePianoPage.jsx + src/components/LovePiano.jsx + src/data/birthdayData.js + src/utils/mediaUtils.js + src/store/useAppStore.js + src/data/roomSequence.js","83072","true","9","30","26","621","148","LovePiano","from-pink-500 to-rose-400 from-rose-400 to-pink-400 from-purple-400 to-pink-500 from-indigo-400 to-purple-400 from-sky-400 to-indigo-400 from-teal-400 to-sky-400","d146df115b","NO","NO","The Birthday Song for Bhuntu uses LovePianoPage. Memory: Chau-Chau, Panipuri, momo, and the foods that became our language. Gift: a bouquet of words for your soft days. Voice: Samjhana, my Bhoot, Abu made the Love Piano room around Chau-Chau, Panipuri, momo, and the foods that became our language. The gift inside is not expe.","Chau-Chau, Panipuri, momo, and the foods that became our language","Your kindness is one of the reasons Abu keeps choosing you.","a bouquet of words for your soft days","Samjhana, my Bhoot, Abu made the Love Piano room around Chau-Chau, Panipuri, momo, and the foods that became our language. The gift inside is not expe","This is a reminder that you are loved in the details. Your kindness is one of the reasons Abu keeps choosing you. This page is Abu’s a future postcard"
"32","032","/wax-sealer","The Letter Abu Sealed for You","WaxSealerPage","src/pages/WaxSealerPage.jsx + src/components/WaxSealer.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","114671","true","10","31","77","624","149","WaxSealer","bg-red-600 bg-pink-500 bg-purple-600 bg-amber-600 rounded-full text-[11px] font-bold bg-green-500 text-white bg-gray-200 text-gray-500 bg-green-400","10ac0238ad","NO","NO","The Letter Abu Sealed for You uses WaxSealerPage. Memory: the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. Gift: a promise map for the places we still want to see. Voice: Samjhana, my Samjhana, Abu made the Wax Sealer room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. Open this when y.","the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home","You make Abu want to become gentler, steadier, and more worthy of your trust.","a promise map for the places we still want to see","Samjhana, my Samjhana, Abu made the Wax Sealer room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. Open this when y","The secret is simple: Abu would still choose you in every version of the story. You make Abu want to become gentler, steadier, and more worthy of your"
"33","033","/love-maze","Finding the Way Back to You","LoveMazePage","src/pages/LoveMazePage.jsx + src/components/LoveMaze.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","112543","true","9","30","67","631","148","LoveMaze","font-ui rounded-3xl bg-slate-950 border-4 border-pink-500/80 shadow-[0_0_40px_rgba bg-slate-900 rounded-2xl border-pink-500/30 text-white font-mono text-xs","fb7010ec89","NO","NO","Finding the Way Back to You uses LoveMazePage. Memory: late-night video calls between Nepalgunj and Sakai, Osaka. Gift: a Bageshwori memory pressed between two pages. Voice: Samjhana, my Samjhana, Abu made the Love Maze room around late-night video calls between Nepalgunj and Sakai, Osaka. This is a reminder that you are l.","late-night video calls between Nepalgunj and Sakai, Osaka","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","a Bageshwori memory pressed between two pages","Samjhana, my Samjhana, Abu made the Love Maze room around late-night video calls between Nepalgunj and Sakai, Osaka. This is a reminder that you are l","Open this when you miss Abu. You make ordinary food, ordinary calls, and ordinary rooms feel like memories. This page is Abu’s a quiet “open when” not"
"34","034","/fortune-cookie","Fortunes Abu Wishes for Sanzu","FortuneCookiePage","src/pages/FortuneCookiePage.jsx + src/components/FortuneCookie.jsx + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","97224","true","9","30","59","624","149","FortuneCookie","text-center font-ui rounded-full bg-amber-100 text-amber-700 font-bold text-xs shadow-sm text-amber-600 text-2xl text-4xl font-extrabold","8be8653d12","NO","NO","Fortunes Abu Wishes for Sanzu uses FortuneCookiePage. Memory: the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. Gift: a bouquet of words for your soft days. Voice: Samjhana, my Bebo, Abu made the Fortune Cookie room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. The gift inside .","the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home","You make Abu want to become gentler, steadier, and more worthy of your trust.","a bouquet of words for your soft days","Samjhana, my Bebo, Abu made the Fortune Cookie room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. The gift inside ","This is a reminder that you are loved in the details. You make Abu want to become gentler, steadier, and more worthy of your trust. This page is Abu’s"
